LGA code,Local Government Area, ERP 2017,ERP 2018,   2017 - 2018 no., 2017 - 2018 %,Natural increase no,Net internal migration no,Net overseas migration no,km2,persons/km2
20110,Alpine (S),12638,12730,92,0.7,-22,42,72,4788.2,2.7
20260,Ararat (RC),11756,11795,39,0.3,-16,-9,64,4211.1,2.8
20570,Ballarat (C),105422,107325,1903,1.8,473,883,547,739,145.2
20660,Banyule (C),129115,130237,1122,0.9,755,-922,1289,62.5,2082.5
20740,Bass Coast (S),34386,35327,941,2.7,-51,871,121,865.8,40.8
20830,Baw Baw (S),50676,52015,1339,2.6,192,1015,132,4027.6,12.9
20910,Bayside (C),104282,105718,1436,1.4,159,278,999,37.2,2841
21010,Benalla (RC),13974,14024,50,0.4,-23,47,26,2352.6,6
21110,Boroondara (C),179677,181289,1612,0.9,305,-1068,2375,60.2,3012.6
21180,Brimbank (C),206997,208714,1717,0.8,1760,-3232,3189,123.4,1691.4
21270,Buloke (S),6205,6184,-21,-0.3,-22,-16,17,8000.4,0.8
21370,Campaspe (S),37597,37592,-5,0,-23,-58,76,4518.9,8.3
21450,Cardinia (S),102403,107120,4717,4.6,1184,2986,547,1282.6,83.5
21610,Casey (C),326771,340419,13648,4.2,3830,5953,3865,409.4,831.4
21670,Central Goldfields (S),13148,13209,61,0.5,-51,94,18,1532.8,8.6
21750,Colac-Otway (S),21430,21503,73,0.3,83,-93,83,3437.5,6.3
21830,Corangamite (S),16210,16140,-70,-0.4,-26,-86,42,4407.5,3.7
21890,Darebin (C),158751,161609,2858,1.8,958,-1198,3098,53.5,3022.4
22110,East Gippsland (S),46136,46818,682,1.5,-50,635,97,20940.2,2.2
22170,Frankston (C),140718,141845,1127,0.8,1003,-664,788,129.6,1094.5
22250,Gannawarra (S),10569,10547,-22,-0.2,-29,3,4,3735.3,2.8
22310,Glen Eira (C),151457,153858,2401,1.6,723,-1097,2775,38.7,3976.6
22410,Glenelg (S),19692,19665,-27,-0.1,-22,-39,34,6218.6,3.2
22490,Golden Plains (S),22568,23120,552,2.4,173,349,30,2703.4,8.6
22620,Greater Bendigo (C),114091,116045,1954,1.7,473,980,501,3000,38.7
22670,Greater Dandenong (C),163518,166094,2576,1.6,1494,-2858,3940,129.5,1282.1
22750,Greater Geelong (C),245728,252217,6489,2.6,964,3663,1862,1248,202.1
22830,Greater Shepparton (C),65554,66007,453,0.7,430,-514,537,2421.9,27.3
22910,Hepburn (S),15629,15812,183,1.2,7,126,50,1473,10.7
22980,Hindmarsh (S),5718,5645,-73,-1.3,-2,-85,14,7524.2,0.8
23110,Hobsons Bay (C),95071,96470,1399,1.5,707,-422,1114,64.2,1501.7
23190,Horsham (RC),19885,19875,-10,-0.1,68,-135,57,4266.8,4.7
23270,Hume (C),215238,224394,9156,4.3,2831,3091,3234,503.9,445.4
23350,Indigo (S),16333,16490,157,1,9,115,33,2040.1,8.1
23430,Kingston (C) (Vic.),161051,163431,2380,1.5,681,-430,2129,91.4,1788.7
23670,Knox (C),161827,163203,1376,0.9,770,-808,1414,113.9,1432.7
23810,Latrobe (C) (Vic.),74908,75211,303,0.4,235,-172,240,1425.6,52.8
23940,Loddon (S),7507,7513,6,0.1,-16,8,14,6696.4,1.1
24130,Macedon Ranges (S),48422,49388,966,2,183,627,156,1748.3,28.2
24210,Manningham (C),124270,125508,1238,1,166,-887,1959,113.3,1107.3
24250,Mansfield (S),8796,8979,183,2.1,0,121,62,3843.9,2.3
24330,Maribyrnong (C),89362,91387,2025,2.3,875,-949,2099,31.2,2926.7
24410,Maroondah (C),116321,117498,1177,1,709,-669,1137,61.4,1913.3
24600,Melbourne (C),159141,169961,10820,6.8,900,1047,8873,37.4,4550.3
24650,Melton (C),148618,156713,8095,5.4,1934,4807,1354,527.5,297.1
24780,Mildura (RC),55142,55515,373,0.7,230,-319,462,22082.5,2.5
24850,Mitchell (S),42903,44299,1396,3.3,363,799,234,2862.1,15.5
24900,Moira (S),29652,29799,147,0.5,23,11,113,4046.4,7.4
24970,Monash (C),196922,200077,3155,1.6,544,-3718,6329,81.5,2455.4
25060,Moonee Valley (C),125411,127883,2472,2,670,52,1750,43.1,2964.5
25150,Moorabool (S),33442,34158,716,2.1,216,419,81,2110.6,16.2
25250,Moreland (C),176974,181725,4751,2.7,1403,-194,3542,51,3566.6
25340,Mornington Peninsula (S),163834,165822,1988,1.2,79,1208,701,724.2,229
25430,Mount Alexander (S),19297,19514,217,1.1,-30,180,67,1529.6,12.8
25490,Moyne (S),16793,16887,94,0.6,65,-43,72,5481.7,3.1
25620,Murrindindi (S),14234,14478,244,1.7,-1,193,52,3879.8,3.7
25710,Nillumbik (S),64618,64941,323,0.5,381,-369,311,432.3,150.2
25810,Northern Grampians (S),11517,11431,-86,-0.7,-29,-99,42,5729.9,2
25900,Port Phillip (C),110656,113200,2544,2.3,832,-466,2178,20.7,5466.2
25990,Pyrenees (S),7358,7353,-5,-0.1,8,-22,9,3434.6,2.1
26080,Queenscliffe (B),2959,2982,23,0.8,-18,27,14,8.6,346.1
26170,South Gippsland (S),29321,29576,255,0.9,30,151,74,3296.3,9
26260,Southern Grampians (S),16123,16135,12,0.1,35,-79,56,6654,2.4
26350,Stonnington (C),113772,116207,2435,2.1,463,-152,2124,25.7,4530.2
26430,Strathbogie (S),10484,10645,161,1.5,-38,161,38,3303.3,3.2
26490,Surf Coast (S),31347,32251,904,2.9,206,527,171,1552.9,20.8
26610,Swan Hill (RC),20847,20759,-88,-0.4,127,-364,149,6115.3,3.4
26670,Towong (S),6039,6054,15,0.2,-3,9,9,6674.9,0.9
26700,Wangaratta (RC),28853,29087,234,0.8,18,138,78,3645.1,8
26730,Warrnambool (C),34569,34862,293,0.8,68,-68,293,120.9,288.2
26810,Wellington (S),43801,44019,218,0.5,57,-25,186,10817.3,4.1
26890,West Wimmera (S),3894,3862,-32,-0.8,7,-43,4,9108.2,0.4
26980,Whitehorse (C),173263,176196,2933,1.7,692,-2076,4317,64.3,2741.1
27070,Whittlesea (C),215686,223322,7636,3.5,2500,2060,3076,489.7,456
27170,Wodonga (C),40812,41429,617,1.5,273,156,188,432.7,95.7
27260,Wyndham (C),241071,255322,14251,5.9,4062,5472,4717,542.1,471
27350,Yarra (C),95994,98521,2527,2.6,808,-167,1886,19.5,5041.4
27450,Yarra Ranges (S),156869,158173,1304,0.8,1004,-342,642,2468.2,64.1
27630,Yarriambiack (S),6684,6658,-26,-0.4,-30,-11,15,7325.8,0.9
